status_id,status_published,num_likes
293444394190504_647231395478467,2017-05-20,1
293444394190504_647128548822085,2017-05-20,0
293444394190504_646944798840460,2017-05-19,0
293444394190504_646901038844836,2017-05-19,0
293444394190504_646802288854711,2017-05-19,0
293444394190504_646625432205730,2017-05-19,0
293444394190504_646442118890728,2017-05-18,0
293444394190504_646381305563476,2017-05-18,0
293444394190504_646377652230508,2017-05-18,0
293444394190504_646329065568700,2017-05-18,0
293444394190504_646312745570332,2017-05-18,0
293444394190504_646312092237064,2017-05-18,0
293444394190504_646263668908573,2017-05-18,0
293444394190504_646088938926046,2017-05-17,0
293444394190504_646076428927297,2017-05-17,0
293444394190504_646036762264597,2017-05-17,0
293444394190504_646020325599574,2017-05-17,0
293444394190504_645955728939367,2017-05-17,0
293444394190504_645905682277705,2017-05-17,2
293444394190504_645750908959849,2017-05-17,0
293444394190504_645691008965839,2017-05-16,0
293444394190504_645681388966801,2017-05-16,0
293444394190504_645595558975384,2017-05-16,0
293444394190504_645576012310672,2017-05-16,0
293444394190504_645514878983452,2017-05-16,0
293444394190504_645481332320140,2017-05-16,0
293444394190504_645218382346435,2017-05-15,0
293444394190504_645062049028735,2017-05-15,1
293444394190504_644825449052395,2017-05-14,0
293444394190504_644814715720135,2017-05-14,0
293444394190504_644779652390308,2017-05-14,0
293444394190504_644634282404845,2017-05-14,0
293444394190504_644625049072435,2017-05-14,0
293444394190504_644320479102892,2017-05-13,1
293444394190504_644251472443126,2017-05-13,1
293444394190504_644202552448018,2017-05-13,1
293444394190504_10213036217801384,2017-05-13,0
293444394190504_644169909117949,2017-05-13,0
293444394190504_644158405785766,2017-05-13,0
293444394190504_10100372177555478,2017-05-13,0
293444394190504_644139535787653,2017-05-13,0
293444394190504_643951949139745,2017-05-12,0
293444394190504_643871695814437,2017-05-12,795
293444394190504_643837305817876,2017-05-12,0
293444394190504_643811075820499,2017-05-12,1
293444394190504_643810415820565,2017-05-12,0
293444394190504_643805332487740,2017-05-12,0
293444394190504_643771715824435,2017-05-12,97
293444394190504_643771305824476,2017-05-12,0
293444394190504_643739369161003,2017-05-12,14
293444394190504_643649809169959,2017-05-12,2
293444394190504_643378482530425,2017-05-11,18
293444394190504_643377345863872,2017-05-11,0
293444394190504_643349825866624,2017-05-11,0
293444394190504_643287025872904,2017-05-11,0
293444394190504_643274949207445,2017-05-11,103
293444394190504_643237849211155,2017-05-11,0
293444394190504_643162945885312,2017-05-11,0
293444394190504_643102142558059,2017-05-11,0
293444394190504_643017032566570,2017-05-11,0
293444394190504_642961242572149,2017-05-10,0
293444394190504_642948179240122,2017-05-10,0
293444394190504_642928632575410,2017-05-10,0
293444394190504_642913899243550,2017-05-10,0
293444394190504_642911602577113,2017-05-10,0
293444394190504_642728585928748,2017-05-10,0
293444394190504_10100370337023918,2017-05-10,0
293444394190504_642695435932063,2017-05-10,0
293444394190504_642380885963518,2017-05-09,0
293444394190504_642296389305301,2017-05-09,111
293444394190504_642203359314604,2017-05-09,1
293444394190504_642173472650926,2017-05-09,0
293444394190504_642156565985950,2017-05-09,357
293444394190504_641882866013320,2017-05-08,1
293444394190504_641865209348419,2017-05-08,0
293444394190504_641795462688727,2017-05-08,24
293444394190504_641624919372448,2017-05-08,0
293444394190504_641459759388964,2017-05-07,0
293444394190504_641418862726387,2017-05-07,0
293444394190504_641302442738029,2017-05-07,0
293444394190504_640695119465428,2017-05-06,1
293444394190504_640367822831491,2017-05-05,0
293444394190504_640354329499507,2017-05-05,0
293444394190504_640343806167226,2017-05-05,2
293444394190504_640059016195705,2017-05-05,0
293444394190504_639952422873031,2017-05-04,0
293444394190504_639760642892209,2017-05-04,0
293444394190504_639684262899847,2017-05-04,30
293444394190504_639681819566758,2017-05-04,97
293444394190504_639583182909955,2017-05-04,0
293444394190504_639572416244365,2017-05-04,0
293444394190504_639484022919871,2017-05-04,1
293444394190504_639437429591197,2017-05-04,1
293444394190504_638850532983220,2017-05-02,0
293444394190504_638754052992868,2017-05-02,1
293444394190504_638633739671566,2017-05-02,0
293444394190504_638629846338622,2017-05-02,0
293444394190504_638285846373022,2017-05-01,0
293444394190504_638269906374616,2017-05-01,0
293444394190504_638257596375847,2017-05-01,0
293444394190504_638193199715620,2017-05-01,0
293444394190504_637468379788102,2017-04-29,1
293444394190504_637382753129998,2017-04-29,0
293444394190504_637318479803092,2017-04-29,0
293444394190504_637294253138848,2017-04-29,0
293444394190504_636897833178490,2017-04-28,0
293444394190504_636873789847561,2017-04-28,0
293444394190504_636873553180918,2017-04-28,0
293444394190504_636871826514424,2017-04-28,0
293444394190504_636215663246707,2017-04-27,0
293444394190504_10154787259949272,2017-04-26,0
293444394190504_635940229940917,2017-04-26,48
293444394190504_635920063276267,2017-04-26,0
293444394190504_635071670027773,2017-04-24,0
293444394190504_634929720041968,2017-04-24,356
293444394190504_634552173413056,2017-04-23,0
293444394190504_1178563662266176,2017-04-23,0
293444394190504_634417126759894,2017-04-23,1
293444394190504_634407730094167,2017-04-23,0
293444394190504_633683276833279,2017-04-21,0
293444394190504_633639226837684,2017-04-21,1
293444394190504_633611910173749,2017-04-21,0
293444394190504_633095770225363,2017-04-20,0
293444394190504_633054753562798,2017-04-20,0
293444394190504_632964760238464,2017-04-20,1
293444394190504_632905753577698,2017-04-20,1
293444394190504_632476306953976,2017-04-19,0
293444394190504_632148726986734,2017-04-18,0
293444394190504_632148726986734,2017-04-18,0
293444394190504_631693093698964,2017-04-17,0
293444394190504_631540287047578,2017-04-17,1
293444394190504_10211379529577189,2017-04-17,0
293444394190504_631460947055512,2017-04-17,50
293444394190504_631344180400522,2017-04-17,117
293444394190504_364949393898979,2017-04-16,0
293444394190504_630987627102844,2017-04-16,2
293444394190504_630232027178404,2017-04-15,0
293444394190504_630174467184160,2017-04-15,0
293444394190504_630174410517499,2017-04-15,0
293444394190504_629979113870362,2017-04-14,0
293444394190504_629890187212588,2017-04-14,0
293444394190504_629665110568429,2017-04-14,0
293444394190504_629318757269731,2017-04-13,1
293444394190504_628516647349942,2017-04-12,29
293444394190504_628295484038725,2017-04-12,0
293444394190504_628159074052366,2017-04-11,0
293444394190504_628100994058174,2017-04-11,0
293444394190504_628079834060290,2017-04-11,0
293444394190504_627383670796573,2017-04-10,0
293444394190504_627208707480736,2017-04-10,39
293444394190504_626239280911012,2017-04-08,1
293444394190504_10155203549937421,2017-04-08,0
293444394190504_626002967601310,2017-04-07,0
293444394190504_1497205736980490,2017-04-07,0
293444394190504_625908850944055,2017-04-07,27
293444394190504_625905307611076,2017-04-07,1
293444394190504_392909181094463,2017-04-07,0
293444394190504_625073607694246,2017-04-06,0
293444394190504_624652161069724,2017-04-05,0
293444394190504_624614937740113,2017-04-05,1
293444394190504_1475941925751598,2017-04-05,0
293444394190504_623750531159887,2017-04-04,0
293444394190504_623740991160841,2017-04-04,32
293444394190504_623312974536976,2017-04-03,0
293444394190504_623203917881215,2017-04-03,133
293444394190504_357914927935759,2017-04-02,0
293444394190504_622462421288698,2017-04-01,1
293444394190504_622426751292265,2017-04-01,0
293444394190504_622412901293650,2017-04-01,61
293444394190504_622298381305102,2017-04-01,0
293444394190504_622224344645839,2017-04-01,14
293444394190504_622143624653911,2017-04-01,1
293444394190504_622015374666736,2017-03-31,1
293444394190504_622001694668104,2017-03-31,0
293444394190504_621694231365517,2017-03-31,42
293444394190504_1471670039541197,2017-03-31,0
293444394190504_621564751378465,2017-03-31,0
293444394190504_621461724722101,2017-03-30,2
293444394190504_621381144730159,2017-03-30,0
293444394190504_621370118064595,2017-03-30,0
293444394190504_621303121404628,2017-03-30,1
293444394190504_620892328112374,2017-03-29,0
293444394190504_620502818151325,2017-03-28,3
293444394190504_620430124825261,2017-03-28,136
293444394190504_620410748160532,2017-03-28,0
293444394190504_989070241229163,2017-03-28,0
293444394190504_620185454849728,2017-03-28,0
293444394190504_620173471517593,2017-03-28,1
293444394190504_620034344864839,2017-03-27,0
293444394190504_619964124871861,2017-03-27,0
293444394190504_619920321542908,2017-03-27,0
293444394190504_619886588212948,2017-03-27,0
293444394190504_619793991555541,2017-03-27,105
293444394190504_10154544842957252,2017-03-26,0
293444394190504_109967852877592,2017-03-26,0
293444394190504_10155875386409325,2017-03-26,0
293444394190504_275319406226726,2017-03-26,0
293444394190504_619270411607899,2017-03-26,0
293444394190504_618870654981208,2017-03-25,0
293444394190504_274901706268496,2017-03-25,0
293444394190504_618712258330381,2017-03-25,0
293444394190504_618376371697303,2017-03-24,41
293444394190504_618257898375817,2017-03-24,0
293444394190504_618212868380320,2017-03-23,20
293444394190504_618203965047877,2017-03-23,0
293444394190504_618186175049656,2017-03-23,1
293444394190504_618104025057871,2017-03-23,0
293444394190504_618011941733746,2017-03-23,0
293444394190504_104727906734920,2017-03-23,0
293444394190504_617992625069011,2017-03-23,18
293444394190504_617908875077386,2017-03-23,0
293444394190504_273381439753856,2017-03-23,0
293444394190504_617891765079097,2017-03-23,0
293444394190504_617727658428841,2017-03-22,0
293444394190504_617671285101145,2017-03-22,0
293444394190504_617667381768202,2017-03-22,31
293444394190504_617588785109395,2017-03-22,17
293444394190504_617280315140242,2017-03-21,1
293444394190504_616982785169995,2017-03-21,42
293444394190504_10155854161394325,2017-03-20,0
293444394190504_615770261957914,2017-03-18,1
293444394190504_615691041965836,2017-03-18,0
293444394190504_615683948633212,2017-03-18,0
293444394190504_615177362017204,2017-03-17,18
293444394190504_615093688692238,2017-03-17,85
293444394190504_615046798696927,2017-03-17,0
293444394190504_614807492054191,2017-03-16,1
293444394190504_614773768724230,2017-03-16,1
293444394190504_614735148728092,2017-03-16,0
293444394190504_614672712067669,2017-03-16,0
293444394190504_614649162070024,2017-03-16,0
293444394190504_614612742073666,2017-03-16,0
293444394190504_614595662075374,2017-03-16,0
293444394190504_614584045409869,2017-03-16,0
293444394190504_614456925422581,2017-03-16,0
293444394190504_614326208768986,2017-03-15,0
293444394190504_228586754281894,2017-03-15,0
293444394190504_614274955440778,2017-03-15,0
293444394190504_614214672113473,2017-03-15,0
293444394190504_10155121028206202,2017-03-15,0
293444394190504_1956322334654200,2017-03-15,1
293444394190504_613969832137957,2017-03-15,1
293444394190504_613863905481883,2017-03-14,2
293444394190504_613651375503136,2017-03-14,90
293444394190504_613507985517475,2017-03-14,0
293444394190504_613503838851223,2017-03-14,0
293444394190504_613471608854446,2017-03-13,0
293444394190504_613447985523475,2017-03-13,0
293444394190504_613372858864321,2017-03-13,0
293444394190504_613367688864838,2017-03-13,0
293444394190504_613353658866241,2017-03-13,0
293444394190504_613276955540578,2017-03-13,0
293444394190504_613215668880040,2017-03-13,1
293444394190504_613171365551137,2017-03-13,160
293444394190504_613087648892842,2017-03-13,1
293444394190504_612906945577579,2017-03-12,0
293444394190504_612904728911134,2017-03-12,0
293444394190504_612768098924797,2017-03-12,0
293444394190504_612736982261242,2017-03-12,0
293444394190504_612730232261917,2017-03-12,0
293444394190504_612695932265347,2017-03-12,0
293444394190504_612687095599564,2017-03-12,0
293444394190504_612649332270007,2017-03-12,0
293444394190504_10212422184375879,2017-03-12,0
293444394190504_612622092272731,2017-03-12,1
293444394190504_612610495607224,2017-03-12,0
293444394190504_612578435610430,2017-03-12,0
293444394190504_612578432277097,2017-03-12,0
293444394190504_612543708947236,2017-03-12,0
293444394190504_612446348956972,2017-03-11,0
293444394190504_612218028979804,2017-03-11,0
293444394190504_612217292313211,2017-03-11,0
293444394190504_1893385494272803,2017-03-11,0
293444394190504_611796675688606,2017-03-10,0
293444394190504_611612362373704,2017-03-10,0
293444394190504_1892830687661617,2017-03-10,0
293444394190504_611404615727812,2017-03-09,0
293444394190504_611047385763535,2017-03-09,1
293444394190504_610843032450637,2017-03-08,0
293444394190504_610842192450721,2017-03-08,0
293444394190504_610770942457846,2017-03-08,2
293444394190504_610597739141833,2017-03-08,1
293444394190504_610489832485957,2017-03-08,1
293444394190504_610486049153002,2017-03-08,1
293444394190504_10208628921136841,2017-03-08,1
293444394190504_610482542486686,2017-03-08,4
293444394190504_610482132486727,2017-03-08,1
293444394190504_610481002486840,2017-03-08,3
293444394190504_610480625820211,2017-03-08,1
293444394190504_610480019153605,2017-03-08,3
293444394190504_610478312487109,2017-03-08,0
293444394190504_610476829153924,2017-03-08,2
293444394190504_610473012487639,2017-03-08,2
293444394190504_10209206290658405,2017-03-08,1
293444394190504_610471742487766,2017-03-08,0
293444394190504_610469692487971,2017-03-08,1
293444394190504_610469672487973,2017-03-08,2
293444394190504_610468445821429,2017-03-08,5
293444394190504_1829393010633136,2017-03-07,0
293444394190504_609968739204733,2017-03-07,1
293444394190504_609953925872881,2017-03-07,0
293444394190504_609892279212379,2017-03-06,2
293444394190504_609790225889251,2017-03-06,0
293444394190504_609726629228944,2017-03-06,0
293444394190504_609220459279561,2017-03-05,0
293444394190504_609164199285187,2017-03-05,0
293444394190504_608570666011207,2017-03-03,1
293444394190504_608389489362658,2017-03-03,0
293444394190504_608384389363168,2017-03-03,1
293444394190504_608161719385435,2017-03-02,0
293444394190504_608095306058743,2017-03-02,0
293444394190504_608074696060804,2017-03-02,1
293444394190504_10158296597580472,2017-03-02,0
293444394190504_607458042789136,2017-03-01,1
293444394190504_607349542799986,2017-03-01,0
293444394190504_607336829467924,2017-03-01,0
293444394190504_607201809481426,2017-02-28,1
293444394190504_607177519483855,2017-02-28,1
293444394190504_607176562817284,2017-02-28,0
293444394190504_607173842817556,2017-02-28,0
293444394190504_607173732817567,2017-02-28,0
293444394190504_607173512817589,2017-02-28,0
293444394190504_607161569485450,2017-02-28,0
293444394190504_607146629486944,2017-02-28,2
293444394190504_607121039489503,2017-02-28,0
293444394190504_607093156158958,2017-02-28,0
293444394190504_606960996172174,2017-02-28,0
293444394190504_606808182854122,2017-02-27,0
293444394190504_10154325224496088,2017-02-27,0
293444394190504_606634866204787,2017-02-27,1
293444394190504_606616639539943,2017-02-27,1
293444394190504_606557769545830,2017-02-27,0
293444394190504_606511899550417,2017-02-27,267
293444394190504_10212511087471623,2017-02-26,0
293444394190504_605998099601797,2017-02-26,0
293444394190504_605672919634315,2017-02-25,0
293444394190504_605325256335748,2017-02-24,0
293444394190504_605303369671270,2017-02-24,72
293444394190504_1773188563008971,2017-02-24,1
293444394190504_1432244310140078,2017-02-24,0
293444394190504_605215246346749,2017-02-24,0
293444394190504_605213956346878,2017-02-24,0
293444394190504_605199463014994,2017-02-24,0
293444394190504_10212490513037275,2017-02-24,0
293444394190504_605122826355991,2017-02-24,111
293444394190504_604839953050945,2017-02-23,0
293444394190504_604806773054263,2017-02-23,0
293444394190504_604627059738901,2017-02-23,1
293444394190504_603948253140115,2017-02-21,1
293444394190504_603884576479816,2017-02-21,0
293444394190504_603867503148190,2017-02-21,0
293444394190504_603645166503757,2017-02-21,0
293444394190504_603499239851683,2017-02-20,0
293444394190504_603242993210641,2017-02-20,141
293444394190504_602668619934745,2017-02-19,0
293444394190504_602391146629159,2017-02-18,0
293444394190504_602359886632285,2017-02-18,0
293444394190504_601833920018215,2017-02-17,0
293444394190504_601778143357126,2017-02-17,71
293444394190504_10155077628557094,2017-02-17,0
293444394190504_601454066722867,2017-02-17,0
293444394190504_601328533402087,2017-02-16,0
293444394190504_601189826749291,2017-02-16,9
293444394190504_601120526756221,2017-02-16,1
293444394190504_600836886784585,2017-02-15,0
293444394190504_600260810175526,2017-02-15,0
293444394190504_600203986847875,2017-02-14,1
293444394190504_600192080182399,2017-02-14,0
293444394190504_600057636862510,2017-02-14,0
293444394190504_600030583531882,2017-02-14,59
293444394190504_599970776871196,2017-02-14,1
293444394190504_599683040233303,2017-02-13,0
293444394190504_599581820243425,2017-02-13,0
293444394190504_599521180249489,2017-02-13,125
293444394190504_765039293665417,2017-02-13,1
293444394190504_599019116966362,2017-02-12,1
293444394190504_598903216977952,2017-02-12,0
293444394190504_598792750322332,2017-02-11,0
293444394190504_1224574174324230,2017-02-11,0
293444394190504_629099397273463,2017-02-11,0
293444394190504_598580323676908,2017-02-11,0
293444394190504_598523723682568,2017-02-11,0
293444394190504_598364937031780,2017-02-10,0
293444394190504_10155049731292360,2017-02-10,0
293444394190504_598083013726639,2017-02-10,0
293444394190504_598080287060245,2017-02-10,26
293444394190504_597864350415172,2017-02-09,0
293444394190504_597770157091258,2017-02-09,0
293444394190504_110301246156602,2017-02-09,0
293444394190504_597697903765150,2017-02-09,1
293444394190504_597625707105703,2017-02-09,74
293444394190504_597477063787234,2017-02-08,0
293444394190504_10202612849639179,2017-02-08,0
293444394190504_597382263796714,2017-02-08,0
293444394190504_597297880471819,2017-02-08,0
293444394190504_597140170487590,2017-02-08,0
293444394190504_597052877162986,2017-02-07,0
293444394190504_597045580497049,2017-02-07,2
293444394190504_596986140502993,2017-02-07,0
293444394190504_596981657170108,2017-02-07,0
293444394190504_596956150505992,2017-02-07,0
293444394190504_596950680506539,2017-02-07,0
293444394190504_596907653844175,2017-02-07,0
293444394190504_596891887179085,2017-02-07,121
293444394190504_596882593846681,2017-02-07,0
293444394190504_596859190515688,2017-02-07,0
293444394190504_596840733850867,2017-02-07,0
293444394190504_596838700517737,2017-02-07,1
293444394190504_596651547203119,2017-02-06,0
293444394190504_596569323878008,2017-02-06,0
293444394190504_596541717214102,2017-02-06,0
293444394190504_596521580549449,2017-02-06,0
293444394190504_596519573882983,2017-02-06,0
293444394190504_596478193887121,2017-02-06,0
293444394190504_596278170573790,2017-02-06,0
293444394190504_596151123919828,2017-02-05,103
293444394190504_596113560590251,2017-02-05,0
293444394190504_596098967258377,2017-02-05,102
293444394190504_596081233926817,2017-02-05,0
293444394190504_596047017263572,2017-02-05,0
293444394190504_596001583934782,2017-02-05,0
293444394190504_595812180620389,2017-02-05,56
293444394190504_595454677322806,2017-02-04,31
293444394190504_595405777327696,2017-02-04,0
293444394190504_595233530678254,2017-02-03,0
293444394190504_595230147345259,2017-02-03,0
293444394190504_595079890693618,2017-02-03,29
293444394190504_595078814027059,2017-02-03,0
293444394190504_595058247362449,2017-02-03,0
293444394190504_594977184037222,2017-02-03,0
293444394190504_594784337389840,2017-02-02,0
293444394190504_594704410731166,2017-02-02,0
293444394190504_594636824071258,2017-02-02,0
293444394190504_1543769572304702,2017-02-01,1
293444394190504_594056327462641,2017-02-01,0
293444394190504_113129052536723,2017-02-01,0
293444394190504_593911427477131,2017-02-01,94
293444394190504_593773107490963,2017-02-01,0
293444394190504_593684267499847,2017-01-31,0
293444394190504_593514807516793,2017-01-31,0
293444394190504_593466540854953,2017-01-31,0
293444394190504_593428804192060,2017-01-31,0
293444394190504_593373447530929,2017-01-31,0
293444394190504_593165530885054,2017-01-30,0
293444394190504_1252838704804000,2017-01-30,1
293444394190504_593007884234152,2017-01-30,0
293444394190504_592974354237505,2017-01-30,0
293444394190504_592958020905805,2017-01-30,0
293444394190504_592842390917368,2017-01-30,0
293444394190504_592830920918515,2017-01-30,78
293444394190504_592801300921477,2017-01-30,0
293444394190504_592714410930166,2017-01-29,0
293444394190504_109430932906347,2017-01-29,0
293444394190504_592267024308238,2017-01-28,0
293444394190504_592253204309620,2017-01-28,0
293444394190504_592186867649587,2017-01-28,0
293444394190504_592084247659849,2017-01-28,0
293444394190504_591918187676455,2017-01-28,0
293444394190504_591873064347634,2017-01-28,0
293444394190504_591767157691558,2017-01-27,0
293444394190504_591673967700877,2017-01-27,0
293444394190504_591629564371984,2017-01-27,0
293444394190504_591620384372902,2017-01-27,0
293444394190504_591403501061257,2017-01-27,0
293444394190504_591352204399720,2017-01-27,0
293444394190504_1552563044773141,2017-01-27,0
293444394190504_591223194412621,2017-01-26,0
293444394190504_590910991110508,2017-01-26,0
293444394190504_590537167814557,2017-01-25,0
293444394190504_590438557824418,2017-01-25,0
293444394190504_590428647825409,2017-01-25,0
293444394190504_1778265099164879,2017-01-25,0
293444394190504_590426547825619,2017-01-25,0
293444394190504_590341394500801,2017-01-25,0
293444394190504_589971411204466,2017-01-24,0
293444394190504_589818197886454,2017-01-24,0
293444394190504_589807674554173,2017-01-24,0
293444394190504_589719154563025,2017-01-24,0
293444394190504_589569784577962,2017-01-24,0
293444394190504_589460721255535,2017-01-23,0
293444394190504_589454794589461,2017-01-23,0
293444394190504_589393074595633,2017-01-23,0
293444394190504_589360234598917,2017-01-23,0
