,num_likes
,sum
status_published,
2016-10-01,24
2016-10-02,3
2016-10-03,29
2016-10-04,0
2016-10-05,0
2016-10-06,15
2016-10-07,0
2016-10-08,0
2016-10-09,76
2016-10-10,9
2016-10-11,43
2016-10-12,43
2016-10-13,32
2016-10-15,13
2016-10-16,0
2016-10-17,32
2016-10-18,16
2016-10-19,0
2016-10-20,49
2016-10-21,62
2016-10-22,13
2016-10-23,0
2016-10-24,40
2016-10-25,18
2016-10-26,44
2016-10-27,17
2016-10-28,13
2016-10-30,0
2016-10-31,343
2016-11-01,1934
2016-11-02,1914
2016-11-03,2051
2016-11-04,279
2016-11-05,16
2016-11-06,145
2016-11-07,1286
2016-11-08,1202
2016-11-09,971
2016-11-10,990
2016-11-11,1065
2016-11-12,0
2016-11-13,0
2016-11-14,1193
2016-11-15,971
2016-11-16,1453
2016-11-17,886
2016-11-18,1084
2016-11-20,0
2016-11-21,949
2016-11-22,809
2016-11-23,2081
2016-11-24,936
2016-11-25,75
2016-11-26,1
2016-11-27,0
2016-11-28,627
2016-11-29,1382
2016-11-30,1846
2016-12-01,2486
2016-12-02,1853
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,2
2016-12-07,2
2016-12-08,0
2016-12-09,1730
2016-12-10,2
2016-12-11,0
2016-12-12,2
2016-12-13,1
2016-12-14,2
2016-12-15,4
2016-12-16,1
2016-12-17,8
2016-12-18,3
2016-12-19,3
2016-12-20,1
2016-12-21,2
2016-12-22,1
2016-12-23,3
2016-12-24,0
2016-12-25,1
2016-12-26,2
2016-12-27,7
2016-12-28,1
2016-12-29,2
2016-12-30,0
2016-12-31,1
2017-01-01,0
2017-01-02,1
2017-01-03,0
2017-01-04,1
2017-01-05,204
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,2
2017-01-10,0
2017-01-11,1
2017-01-12,0
2017-01-13,17
2017-01-14,1
2017-01-15,0
2017-01-16,0
2017-01-17,1
2017-01-18,0
2017-01-19,39
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,79
2017-01-31,0
2017-02-01,95
2017-02-02,0
2017-02-03,29
2017-02-04,31
2017-02-05,261
2017-02-06,0
2017-02-07,124
2017-02-08,0
2017-02-09,75
2017-02-10,26
2017-02-11,0
2017-02-12,1
2017-02-13,126
2017-02-14,61
2017-02-15,0
2017-02-16,10
2017-02-17,71
2017-02-18,0
2017-02-19,0
2017-02-20,141
2017-02-21,1
2017-02-23,1
2017-02-24,184
2017-02-25,0
2017-02-26,0
2017-02-27,269
2017-02-28,4
2017-03-01,1
2017-03-02,1
2017-03-03,2
2017-03-05,0
2017-03-06,2
2017-03-07,1
2017-03-08,31
2017-03-09,1
2017-03-10,0
2017-03-11,0
2017-03-12,1
2017-03-13,162
2017-03-14,92
2017-03-15,2
2017-03-16,2
2017-03-17,103
2017-03-18,1
2017-03-20,0
2017-03-21,43
2017-03-22,48
2017-03-23,39
2017-03-24,41
2017-03-25,0
2017-03-26,0
2017-03-27,105
2017-03-28,140
2017-03-29,0
2017-03-30,3
2017-03-31,43
2017-04-01,77
2017-04-02,0
2017-04-03,133
2017-04-04,32
2017-04-05,1
2017-04-06,0
2017-04-07,28
2017-04-08,1
2017-04-10,39
2017-04-11,0
2017-04-12,29
2017-04-13,1
2017-04-14,0
2017-04-15,0
2017-04-16,2
2017-04-17,168
2017-04-18,0
2017-04-19,0
2017-04-20,2
2017-04-21,1
2017-04-23,1
2017-04-24,356
2017-04-26,48
2017-04-27,0
2017-04-28,0
2017-04-29,1
2017-05-01,0
2017-05-02,1
2017-05-04,129
2017-05-05,2
2017-05-06,1
2017-05-07,0
2017-05-08,25
2017-05-09,469
2017-05-10,0
2017-05-11,121
2017-05-12,909
2017-05-13,3
2017-05-14,0
2017-05-15,1
2017-05-16,0
2017-05-17,2
2017-05-18,0
2017-05-19,0
2017-05-20,1
