status_id,status_published,num_likes
314454728919469_447562865608654,2017-05-20,0
314454728919469_447531725611768,2017-05-20,2
314454728919469_447499362281671,2017-05-20,9
314454728919469_447439482287659,2017-05-20,5
314454728919469_447398378958436,2017-05-20,12
314454728919469_447077185657222,2017-05-19,4
314454728919469_447028078995466,2017-05-19,7
314454728919469_446997495665191,2017-05-19,8
314454728919469_446955532336054,2017-05-19,27
314454728919469_446927279005546,2017-05-19,16
314454728919469_446868785678062,2017-05-19,11
314454728919469_446640485700892,2017-05-18,12
314454728919469_446606432370964,2017-05-18,11
314454728919469_446597765705164,2017-05-18,0
314454728919469_446572919040982,2017-05-18,14
314454728919469_446534419044832,2017-05-18,6
314454728919469_446498779048396,2017-05-18,23
314454728919469_446183662413241,2017-05-17,31
314454728919469_446124442419163,2017-05-17,0
314454728919469_446059462425661,2017-05-17,21
314454728919469_446033429094931,2017-05-17,10
314454728919469_445718999126374,2017-05-16,23
314454728919469_445639655800975,2017-05-16,10
314454728919469_445612879136986,2017-05-16,10
314454728919469_445463542485253,2017-05-16,0
314454728919469_445321382499469,2017-05-15,20
314454728919469_445214549176819,2017-05-15,9
314454728919469_445181012513506,2017-05-15,6
314454728919469_444892212542386,2017-05-14,6
314454728919469_444790245885916,2017-05-14,8
314454728919469_444755139222760,2017-05-14,18
314454728919469_444349162596691,2017-05-13,11
314454728919469_444312669267007,2017-05-13,9
314454728919469_443033179394956,2017-05-11,1
314454728919469_442766372754970,2017-05-11,1
314454728919469_10154684665793403,2017-05-10,0
314454728919469_1451772298179367,2017-05-10,0
314454728919469_441801086184832,2017-05-09,1
314454728919469_441362566228684,2017-05-08,1
314454728919469_441296779568596,2017-05-07,38
314454728919469_441202162911391,2017-05-07,17
314454728919469_441158712915736,2017-05-07,3
314454728919469_440359359662338,2017-05-05,1
314454728919469_439890929709181,2017-05-04,1
314454728919469_439577363073871,2017-05-04,1
314454728919469_438770333154574,2017-05-02,1
314454728919469_438262086538732,2017-05-01,0
314454728919469_438140746550866,2017-05-01,1
314454728919469_437815626583378,2017-04-30,20
314454728919469_437437316621209,2017-04-29,28
314454728919469_437332199965054,2017-04-29,2
314454728919469_437302536634687,2017-04-29,3
314454728919469_436947846670156,2017-04-28,13
314454728919469_436807326684208,2017-04-28,17
314454728919469_436491946715746,2017-04-27,25
314454728919469_436367293394878,2017-04-27,14
314454728919469_436327863398821,2017-04-27,7
314454728919469_435921840106090,2017-04-26,34
314454728919469_435921346772806,2017-04-26,17
314454728919469_435828296782111,2017-04-26,13
314454728919469_435422303489377,2017-04-25,61
314454728919469_435137433517864,2017-04-25,0
314454728919469_435037173527890,2017-04-24,0
314454728919469_10210818368627824,2017-04-24,1
314454728919469_434569180241356,2017-04-23,15
314454728919469_434370526927888,2017-04-23,1
314454728919469_434018570296417,2017-04-22,13
314454728919469_433906496974291,2017-04-22,23
314454728919469_433879490310325,2017-04-22,0
314454728919469_433878270310447,2017-04-22,0
314454728919469_433581237006817,2017-04-21,4
314454728919469_433405577024383,2017-04-21,1
314454728919469_433268163704791,2017-04-21,2
314454728919469_433082267056714,2017-04-20,1
314454728919469_433058613725746,2017-04-20,71
314454728919469_433050240393250,2017-04-20,61
314454728919469_431116237253317,2017-04-16,12
314454728919469_431116203919987,2017-04-16,6
314454728919469_431116117253329,2017-04-16,13
314454728919469_431116037253337,2017-04-16,24
314454728919469_431113587253582,2017-04-16,14
314454728919469_430052464026361,2017-04-14,33
314454728919469_429102267454714,2017-04-13,12
314454728919469_429081787456762,2017-04-12,1
314454728919469_428985754133032,2017-04-12,10
314454728919469_428499940848280,2017-04-11,1
314454728919469_428095850888689,2017-04-11,1
314454728919469_427964037568537,2017-04-10,1
314454728919469_427925617572379,2017-04-10,46
314454728919469_425611027803838,2017-04-06,1
314454728919469_425064964525111,2017-04-05,41
314454728919469_424833204548287,2017-04-05,1
314454728919469_423409004690707,2017-04-02,1
314454728919469_10211334193244188,2017-04-01,1
314454728919469_420505201647754,2017-03-28,1
314454728919469_417981875233420,2017-03-24,1
314454728919469_417640028600938,2017-03-23,1
314454728919469_417370375294570,2017-03-22,1
314454728919469_417143361983938,2017-03-22,61
314454728919469_395053410867581,2017-03-21,1
314454728919469_415881638776777,2017-03-19,1
314454728919469_415769788787962,2017-03-19,1
314454728919469_415522248812716,2017-03-18,1
314454728919469_415317482166526,2017-03-18,45
314454728919469_1678949705735302,2017-03-18,3
314454728919469_1959710190923863,2017-03-17,0
314454728919469_413949142303360,2017-03-15,1
314454728919469_411326669232274,2017-03-11,18
314454728919469_411326339232307,2017-03-11,50
314454728919469_410970939267847,2017-03-10,2
314454728919469_10100921141477333,2017-03-08,1
314454728919469_785615451605420,2017-03-07,1
314454728919469_1552804584753521,2017-03-07,1
314454728919469_407556802942594,2017-03-05,4285
314454728919469_406861226345485,2017-03-03,3
314454728919469_406383913059883,2017-03-02,2
314454728919469_406351629729778,2017-03-02,1
314454728919469_406083679756573,2017-03-01,1
314454728919469_10155163913229644,2017-03-01,1
314454728919469_10103433881411108,2017-02-28,1
314454728919469_405606026471005,2017-02-28,1
314454728919469_405185403179734,2017-02-27,1
