,num_likes
,sum
status_published,
2016-09-24,11
2016-09-25,4
2016-09-26,0
2016-09-30,0
2016-10-01,0
2016-10-02,1
2016-10-03,5
2016-10-04,8
2016-10-05,3
2016-10-06,0
2016-10-07,4
2016-10-08,1
2016-10-12,7
2016-10-13,7
2016-10-18,12
2016-10-19,16
2016-10-28,6
2016-10-29,30
2016-10-30,11
2016-10-31,0
2016-11-03,35
2016-11-04,3
2016-11-05,4
2016-11-07,2
2016-11-09,3
2016-11-10,1
2016-11-13,1
2016-11-15,1
2016-11-16,1
2016-11-17,1
2016-11-18,2
2016-11-19,0
2016-11-21,4
2016-11-24,72
2016-11-25,18
2016-11-26,1
2016-11-29,1
2016-11-30,1
2016-12-04,0
2016-12-05,1
2016-12-08,68
2016-12-09,41
2016-12-10,1
2016-12-11,1
2016-12-12,1
2016-12-13,1
2016-12-14,55
2016-12-15,1
2016-12-16,2
2016-12-18,2
2016-12-19,2
2016-12-20,2
2016-12-21,57
2016-12-23,1
2016-12-24,2
2016-12-25,2
2016-12-26,86
2016-12-27,2
2016-12-28,3
2016-12-29,0
2016-12-30,2
2016-12-31,3
2017-01-01,1
2017-01-02,1
2017-01-05,1
2017-01-06,10
2017-01-07,1
2017-01-08,1
2017-01-09,1
2017-01-12,1
2017-01-13,2
2017-01-18,2
2017-01-19,1
2017-01-21,1
2017-01-25,0
2017-01-27,1
2017-01-29,1
2017-01-30,3
2017-02-04,1
2017-02-05,78
2017-02-06,2
2017-02-07,2
2017-02-09,1
2017-02-10,1
2017-02-16,131
2017-02-17,19
2017-02-18,19
2017-02-19,1
2017-02-20,1
2017-02-21,28
2017-02-22,1
2017-02-23,1
2017-02-24,2
2017-02-26,1
2017-02-27,1
2017-02-28,2
2017-03-01,2
2017-03-02,3
2017-03-03,3
2017-03-05,4285
2017-03-07,2
2017-03-08,1
2017-03-10,2
2017-03-11,68
2017-03-15,1
2017-03-17,0
2017-03-18,49
2017-03-19,2
2017-03-21,1
2017-03-22,62
2017-03-23,1
2017-03-24,1
2017-03-28,1
2017-04-01,1
2017-04-02,1
2017-04-05,42
2017-04-06,1
2017-04-10,47
2017-04-11,2
2017-04-12,11
2017-04-13,12
2017-04-14,33
2017-04-16,69
2017-04-20,133
2017-04-21,7
2017-04-22,36
2017-04-23,16
2017-04-24,1
2017-04-25,61
2017-04-26,64
2017-04-27,46
2017-04-28,30
2017-04-29,33
2017-04-30,20
2017-05-01,1
2017-05-02,1
2017-05-04,2
2017-05-05,1
2017-05-07,58
2017-05-08,1
2017-05-09,1
2017-05-10,0
2017-05-11,2
2017-05-13,20
2017-05-14,32
2017-05-15,35
2017-05-16,43
2017-05-17,62
2017-05-18,66
2017-05-19,73
2017-05-20,28
